menu_item_id,category_id
4d178cc2-d9e9-4812-bb60-de25d121a7e4,05833a9c-3092-41e9-8b0f-7a97041854a9
baffdc57-ddbb-4c4b-941d-3bb3f21e483a,05833a9c-3092-41e9-8b0f-7a97041854a9
8bf36bbf-7eb7-420d-95bd-b2ecd97bf935,05833a9c-3092-41e9-8b0f-7a97041854a9
92ef8caa-f57b-4e3e-8f9c-a7f70d244a00,05833a9c-3092-41e9-8b0f-7a97041854a9
3aeb2a8a-a0cd-4d49-85e6-6a13249a286f,05833a9c-3092-41e9-8b0f-7a97041854a9
10045972-0bbd-4c22-b9af-f7fdd5d352c9,05833a9c-3092-41e9-8b0f-7a97041854a9
96f900af-7eef-4de1-a2e7-ed758de7061c,05833a9c-3092-41e9-8b0f-7a97041854a9
59cbf09b-0d2c-4edf-b194-0d6e0bda37aa,05833a9c-3092-41e9-8b0f-7a97041854a9
4d178cc2-d9e9-4812-bb60-de25d121a7e4,9693fd0b-9339-4524-b3de-46531a4b5a83
baffdc57-ddbb-4c4b-941d-3bb3f21e483a,9693fd0b-9339-4524-b3de-46531a4b5a83
63d69307-3627-4d81-8e63-0c5812abfe20,9693fd0b-9339-4524-b3de-46531a4b5a83
92ef8caa-f57b-4e3e-8f9c-a7f70d244a00,9693fd0b-9339-4524-b3de-46531a4b5a83
3aeb2a8a-a0cd-4d49-85e6-6a13249a286f,9693fd0b-9339-4524-b3de-46531a4b5a83
10045972-0bbd-4c22-b9af-f7fdd5d352c9,9693fd0b-9339-4524-b3de-46531a4b5a83
96f900af-7eef-4de1-a2e7-ed758de7061c,9693fd0b-9339-4524-b3de-46531a4b5a83
59cbf09b-0d2c-4edf-b194-0d6e0bda37aa,9693fd0b-9339-4524-b3de-46531a4b5a83